Mes;Aviones
2021-04;6095
2021-03;5061
2021-02;3818
2021-01;5341
2020-12;6929
2020-11;5153
2020-10;8710
2020-09;10270
2020-08;13872
2020-07;10118
2020-06;2505
2020-05;1516
2020-04;1339
2020-03;13443
2020-02;22552
2020-01;23072
2019-12;25005
2019-11;24779
2019-10;30580
2019-09;31838
2019-08;32453
2019-07;32897
2019-06;31736
2019-05;30855
2019-04;29635
2019-03;25768
2019-02;22480
2019-01;23870
2018-12;24744
2018-11;23583
2018-10;30316
2018-09;31379
2018-08;31845
2018-07;32312
2018-06;31014
2018-05;30407
2018-04;28330
2018-03;25603
2018-02;21160
2018-01;22256
2017-12;22989
2017-11;23253
2017-10;29022
2017-09;30295
2017-08;31202
2017-07;31745
2017-06;30278
2017-05;29763
2017-04;27381
2017-03;23931
2017-02;19903
2017-01;20694
2016-12;21394
2016-11;21707
2016-10;27095
2016-09;28935
2016-08;30182
2016-07;30539
2016-06;28534
2016-05;28096
2016-04;26300
2016-03;23163
2016-02;19570
2016-01;19137
2015-12;19751
2015-11;20356
2015-10;25116
2015-09;27021
2015-08;29028
2015-07;29144
2015-06;27404
2015-05;26518
2015-04;24698
2015-03;21335
2015-02;17338
2015-01;18165
