Mes;Pasajeros en avion
2015-01;2182824
2015-02;2198817
2015-03;2866178
2015-04;3305879
2015-05;3583111
2015-06;3794281
2015-07;4233180
2015-08;4368816
2015-09;3949554
2015-10;3599021
2015-11;2765331
2015-12;2577627
2016-01;2488318
2016-02;2642345
2016-03;3268374
2016-04;3589076
2016-05;4018108
2016-06;4168058
2016-07;4627451
2016-08;4659250
2016-09;4325872
2016-10;3983960
2016-11;3012430
2016-12;2966488
2017-01;2764844
2017-02;2765530
2017-03;3430991
2017-04;4073466
2017-05;4288788
2017-06;4550136
2017-07;4993649
2017-08;4895979
2017-09;4592769
2017-10;4131654
2017-11;3159089
2017-12;3154839
2018-01;3017537
2018-02;2995822
2018-03;3791623
2018-04;4200566
2018-05;4508011
2018-06;4761916
2018-07;5101750
2018-08;5080900
2018-09;4787968
2018-10;4489464
2018-11;3400821
2018-12;3457960
2019-01;3237181
2019-02;3229029
2019-03;3894190
2019-04;4444659
2019-05;4604525
2019-06;5015675
2019-07;5261280
2019-08;5301818
2019-09;5013511
2019-10;4553009
2019-11;3595814
2019-12;3583115
2020-01;3305103
2020-02;3206523
2020-03;1381013
2020-04;24199
2020-05;45015
2020-06;143987
2020-07;861748
2020-08;1096247
2020-09;829397
2020-10;696818
2020-11;327198
2020-12;523380
